Reading_ID,Timestamp,Machine_ID,Equipment_Type,Location,Shift,Temperature,Pressure,Vibration,Humidity,Voltage,Current,RPM,Power_Consumption,Machine_Status,Age_Years,Maintenance_Due,Last_Maintenance_Days,Operating_Hours,Load_Percent,Ambient_Temp,Oil_Level,Noise_Level,Uptime_Hours,Downtime_Hours,Production_Count,Defect_Count,Sensor_ID,Firmware_Version,Anomaly_Flag,Temp_Rolling_Mean,Temp_Rolling_STD,Pressure_Rolling_Mean,Vibration_Rolling_Mean,Advanced_Predicted_Anomaly
RD876494,2024-04-17 17:36:00,MCH194,CNC Machine,Warehouse 1,Afternoon,52.74,1.22,43.76,84.98,229.86,23.28,10000,38.5,Standby,8,Yes,9,17,57.3,32.72,82.99,90.29,3264,113,316,0,SEN3151,V1.4.4,0,61.306000000000004,18.760481870143956,4.231999999999999,33.001999999999995,0
RD667526,2024-03-11 03:04:00,MCH360,CNC Machine,Plant A,Day,52.74,8.64,41.09,37.15,229.86,48.9,2308,9.96,Offline,13,1,72,18,29.57,18.98,82.18,52.57,4087,83,718,7,SEN6968,V2.3.3,0,61.306000000000004,18.760481870143956,4.876,39.712,0
RD696556,2024-03-26 01:05:00,MCH283,Transformer,Warehouse 2,Afternoon,66.39,7.24,4.13,41.02,247.24,33.68,1631,49.19,Faulty,5,No,50,19,49.78,42.86,60.57,78.33,7966,236,172,4,SEN1378,V3.9.8,0,61.306000000000004,18.760481870143956,4.67,34.982,0
RD717217,2024-01-22 14:30:00,MCH765,Hydraulic Press,Unit 2,Afternoon,65.76,4.64,37.88,62.07,209.32,37.84,1080,24.29,Faulty,15,No,48,11,93.44,36.57,34.37,99.23,6126,371,929,9,SEN1158,V2.0.6,1,61.306000000000004,18.760481870143956,5.144,34.672000000000004,0
RD987789,2024-06-20 04:36:00,MCH184,Robot,Plant B,Morning,86.2,9.61,13.9,85.94,213.28,9.16,1069,42.91,Maintenance,18,yes,59,15,57.74,21.24,48.36,48.98,1103,184,561,3,SEN6348,V3.3.4,0,61.306000000000004,18.760481870143956,6.2700000000000005,28.152000000000005,0
RD492054,2024-02-19 11:38:00,MCH294,CNC Machine,Unit 1,Morning,35.44,3.62,15.35,33.95,213.28,33.14,1689,48.31,Idle,5,Yes,2,18,36.38,28.31,59.61,41.07,3357,155,145,10,SEN1337,V4.5.0,0,61.306000000000004,18.760481870143956,6.75,22.470000000000006,0
RD131982,2024-05-01 03:12:00,MCH905,Pump,Plant B,Afternoon,20.08,9.41,7.09,85.44,226.31,43.3,1385,2.86,Faulty,1,NO,22,23,71.97,28.81,35.97,43.33,6666,316,922,2,SEN8119,V3.5.3,1,54.774,26.55510459403239,6.904000000000001,15.670000000000002,1
RD905415,2024-03-27 20:30:00,MCH522,Pump,Plant A,Morning,81.06,3.0,29.09,47.35,245.63,30.05,1691,28.36,Idle,11,no,59,11,59.93,38.54,23.53,51.84,6730,42,960,8,SEN4040,V5.0.6,1,57.708000000000006,28.86899236204825,6.056,20.662,0
RD786602,2024-03-30 22:44:00,MCH705,Turbine,Unit 2,Night,60.63,5.86,30.05,83.6,224.62,7.16,1690,36.19,Idle,8,YES,35,12,27.98,40.84,34.02,80.82,6734,35,45,5,SEN2944,V4.2.9,0,56.682,28.60120137336892,6.3,19.096,0
RD803136,2024-05-28 20:58:00,MCH917,Transformer,Unit 2,Morning,77.64,5.94,23.17,58.91,242.15,14.28,2848,46.48,Standby,11,YES,45,9,61.02,34.8,96.31,47.56,5021,280,969,6,SEN6425,V3.2.3,0,54.970000000000006,26.57717817978425,5.566000000000001,20.95,0
RD306790,2024-05-15 23:48:00,MCH652,Robot,Plant A,Day,27.29,8.37,49.63,71.43,247.22,13.52,2515,16.56,Maintenance,3,No,68,3,30.51,43.64,62.22,43.46,6462,207,506,3,SEN1517,V3.9.0,1,53.339999999999996,28.270402367140093,6.516,27.806000000000004,1
RD136114,2024-04-29 19:23:00,MCH623,Robot,Plant A,Morning,93.98,1.83,41.16,76.56,247.21,41.23,1166,14.22,Faulty,19,yes,75,0,68.42,22.32,49.43,73.16,8404,162,854,10,SEN8989,V2.6.1,0,68.12,25.739087979180617,5.0,34.620000000000005,0
RD987943,2024-02-29 06:35:00,MCH118,Transformer,Plant B,morning,89.57,1.74,39.54,76.56,236.6,46.93,2654,7.34,Faulty,9,no,9,24,81.54,24.25,40.09,79.14,2858,41,103,1,SEN1805,V2.6.6,1,69.822,27.05631848570681,4.747999999999999,36.71,0
RD888628,2024-02-25 18:55:00,MCH588,Compressor,Plant B,Morning,83.67,2.03,45.39,45.75,227.35,49.25,2659,12.85,Maintenance,1,Yes,16,11,75.86,18.56,34.75,78.62,4886,496,770,10,SEN2520,V2.9.2,0,74.43,27.06142734594759,3.982,39.778,0
RD977208,2024-05-03 18:13:00,MCH798,Pump,Warehouse 2,morning,75.91,8.39,3.76,84.01,234.89,41.62,2059,11.93,Running,6,YES,3,5,84.27,24.95,81.5,78.04,2148,60,4,7,SEN5360,V3.0.1,0,74.08399999999999,27.02115430546963,4.4719999999999995,35.896,0
RD360301,2024-05-02 01:10:00,MCH476,Hydraulic Press,Unit 2,Day,38.33,9.85,20.82,52.07,222.16,11.43,1315,49.86,Offline,17,No,53,14,22.23,23.31,90.14,60.71,2027,234,881,4,SEN6293,V2.7.3,0,76.292,22.275911204707203,4.768,30.134000000000004,0
RD304942,2024-01-30 17:56:00,MCH831,Transformer,Unit 2,Night,76.0,3.29,44.71,66.74,228.77,23.04,1867,38.41,RUNNING,18,yes,34,4,74.19,22.45,64.58,59.15,6537,407,693,5,SEN3144,V2.9.1,0,72.696,20.04637573228637,5.06,30.844,0
RD450552,2024-02-16 14:56:00,MCH482,Hydraulic Press,Plant A,Afternoon,56.78,5.15,1000.0,64.37,237.76,24.91,1149,5.35,Standby,11,YES,62,21,71.77,41.12,20.0,70.6,5655,315,476,0,SEN4729,V2.1.8,0,66.138,18.445724978975477,5.742,222.936,1
RD430500,2024-06-14 12:57:00,MCH713,Transformer,Warehouse 2,Day,58.89,6.87,22.55,47.44,218.06,48.03,2079,27.1,Maintenance,1,yes,86,19,61.94,40.95,51.22,76.4,8884,71,672,7,SEN8956,V4.6.4,0,61.181999999999995,15.679061515282083,6.709999999999999,218.368,1
RD138218,2024-02-02 02:40:00,MCH502,Conveyor,Plant B,Day,68.32,6.59,28.18,62.61,219.88,11.28,2127,49.22,Idle,12,Yes,37,10,69.12,21.88,74.99,58.47,8114,35,337,2,SEN2195,V2.6.5,1,59.664,14.193725021994743,6.35,223.252,1
RD865496,2024-06-09 11:28:00,MCH367,Compressor,Plant C,Morning,60.08,9.27,31.19,31.47,219.88,44.77,2973,21.94,Faulty,18,NO,27,6,34.93,19.74,21.45,53.51,8943,172,520,9,SEN5364,V4.2.9,0,52.974000000000004,30.592500388167025,6.234,225.32600000000002,1
RD712547,2024-04-21 04:13:00,MCH354,Conveyor,Unit 1,Afternoon,60.08,5.85,23.62,70.23,231.46,43.55,2785,42.4,Offline,8,Yes,13,4,93.64,34.84,44.96,82.21,8355,452,674,0,SEN3949,V4.1.0,0,52.974000000000004,30.592500388167025,6.746,221.108,1
RD537106,2024-04-07 06:16:00,MCH399,Pump,Unit 1,Morning,57.3,5.42,44.19,81.68,239.11,24.51,1111,7.47,Standby,6,yes,46,5,36.76,42.77,65.87,65.58,3284,447,958,8,SEN3120,V2.0.4,0,52.974000000000004,30.592500388167025,6.8,29.946000000000005,0
RD497439,2024-03-19 10:01:00,MCH297,Conveyor,Unit 3,Morning,75.37,2.1,10.17,42.41,247.26,22.21,1816,20.68,Faulty,19,NO,76,17,38.15,36.65,57.79,54.79,5146,137,790,0,SEN9604,V1.9.9,0,52.974000000000004,30.592500388167025,5.846,27.47,0
RD972324,2024-02-07 15:22:00,MCH333,Transformer,Factory 2,Afternoon,0.0,5.27,22.57,49.39,247.26,31.0,2335,39.72,running,19,No,28,11,38.15,32.18,50.68,87.49,9408,41,641,10,SEN8693,V3.3.3,0,52.974000000000004,30.592500388167025,5.582,26.348000000000003,0
RD525491,05-03-2024 22:09:00,MCH721,Hydraulic Press,Plant C,Morning,72.12,8.58,9.9,54.47,237.33,39.53,2957,42.54,Maintenance,12,no,74,2,34.58,27.82,74.73,80.61,7724,239,31,1,SEN8617,V4.2.3,0,52.974000000000004,30.592500388167025,5.098000000000001,22.09,0
RD947839,2024-03-13 14:59:00,MCH349,Pump,Factory 1,Afternoon,98.01,8.58,32.46,41.15,243.73,49.49,1782,26.71,Offline,8,yes,65,15,46.6,24.39,21.38,95.77,4738,31,787,3,SEN6169,V4.7.4,1,60.56,36.85652384585394,5.098000000000001,23.857999999999997,0
RD136247,2024-02-19 01:24:00,MCH177,Generator,Plant B,Day,91.79,2.13,33.05,49.55,213.0,37.04,2471,5.95,Idle,13,Yes,83,0,21.2,27.59,57.4,64.25,5869,176,278,3,SEN7621,V3.8.5,0,67.458,39.24406541121855,5.098000000000001,21.630000000000003,0
RD795993,2024-06-10 18:17:00,MCH415,Transformer,Plant A,Morning,94.79,2.34,46.47,41.07,208.74,34.68,2485,5.16,Faulty,16,no,2,5,67.02,38.89,34.58,53.34,2309,280,469,3,SEN2988,V3.9.8,1,71.34200000000001,41.13817533629804,5.098000000000001,28.889999999999997,0
RD556532,2024-02-25 01:47:00,MCH687,CNC Machine,Unit 2,Morning,45.04,6.15,26.83,41.63,249.23,16.75,2896,6.82,Idle,18,yes,17,18,82.55,20.42,74.21,58.23,7579,39,18,8,SEN1360,V1.8.2,0,80.35,22.168625352060072,5.098000000000001,29.742,0
RD292125,2024-05-04 12:02:00,MCH910,Conveyor,Plant C,Day,22.76,6.29,-10.0,81.22,236.97,35.23,2771,28.12,Idle,11,no,25,7,86.18,39.78,27.89,53.28,422,478,492,3,SEN5542,V3.3.3,0,57.212,24.113351488335255,5.098000000000001,25.762,0
RD865287,2024-03-21 03:48:00,MCH669,Turbine,Factory 1,Afternoon,22.76,3.12,45.04,41.88,217.99,47.67,2206,11.86,FAULTY,5,YES,55,15,57.31,16.62,35.8,84.01,7952,335,707,9,SEN4544,V2.5.5,0,57.212,24.113351488335255,4.006,28.278,0
RD177355,2024-06-16 03:29:00,MCH182,Turbine,Unit 3,Day,47.61,1.16,40.0,38.62,218.2,8.34,2507,26.42,Offline,13,Yes,41,7,72.9,22.79,76.46,56.23,1965,466,228,4,SEN3010,V3.1.4,1,57.212,24.113351488335255,3.812,29.082,0
RD725450,2024-01-09 04:24:00,MCH260,Pump,Plant A,Morning,88.19,6.54,40.0,65.64,238.13,25.88,1129,34.22,Offline,2,no,88,24,98.17,38.35,82.58,81.84,5289,442,938,10,SEN4025,V4.8.3,0,57.212,24.113351488335255,4.651999999999999,29.082,0
RD206521,2024-06-14 17:04:00,MCH827,Turbine,Warehouse 2,Night,62.87,3.97,20.96,47.31,213.15,7.0,2703,45.46,Idle,13,YES,75,21,95.32,33.81,47.18,56.75,7076,400,536,0,SEN8123,V2.6.5,0,57.212,24.113351488335255,4.216,29.082,0
RD994866,2024-06-18 07:44:00,MCH671,Motor,Warehouse 2,Day,64.63,8.47,36.53,57.05,220.17,43.2,2171,21.24,Standby,11,no,3,16,52.88,36.4,68.51,66.16,7774,144,989,5,SEN8834,V5.5.0,0,57.212,24.113351488335255,4.652,29.082,0
RD824904,2024-06-16 17:44:00,MCH245,Turbine,Unit 3,Night,21.91,1.04,45.83,70.99,248.59,12.52,10000,6.81,Offline,4,Yes,48,12,59.18,32.58,92.77,47.37,5847,356,600,1,SEN5611,V1.2.9,0,57.04200000000001,24.41803268078737,4.236,29.082,1
RD734898,2024-02-14 17:38:00,MCH653,Motor,Factory 1,Night,97.23,2.55,2.09,62.66,211.3,33.75,1825,34.25,Idle,8,Yes,1,9,49.8,16.89,25.74,99.36,8293,81,706,7,SEN9623,V3.8.0,0,66.966,29.23459047087885,4.514,29.082,0
RD933243,2024-05-21 03:19:00,MCH237,Robot,Plant A,Night,33.08,7.39,40.09,80.05,211.3,35.42,2235,28.42,Faulty,3,no,58,18,32.55,36.32,29.84,63.12,8459,187,318,0,SEN8056,V3.8.8,0,55.944,29.618514142340096,4.684,29.1,0
RD196632,2024-03-26 20:34:00,MCH495,Conveyor,Warehouse 1,Day,84.29,1.5,37.02,78.65,222.65,39.8,2611,46.74,Maintenance,15,Yes,74,17,72.82,19.04,59.02,41.77,7713,202,273,10,SEN8299,V4.0.6,0,60.227999999999994,32.29856219710098,4.19,32.312,0
RD921426,2024-05-04 10:23:00,MCH304,Pump,plant a,Morning,36.39,2.98,42.9,30.55,240.3,17.29,2178,17.96,Standby,11,Yes,38,19,63.26,20.01,32.4,72.14,1380,59,730,9,SEN2985,V2.2.0,0,54.58,33.77188771744926,4.358,33.586,0
RD695805,2024-05-30 11:05:00,MCH238,Generator,Warehouse 2,Night,95.77,2.98,48.77,75.52,228.58,46.9,1137,44.46,Faulty,4,No,16,17,47.56,23.83,89.54,73.76,8564,488,290,10,SEN2624,V4.0.6,1,69.352,32.0171394724763,4.358,34.174,0
RD107686,2024-05-09 10:55:00,MCH839,Hydraulic Press,Factory 2,Afternoon,76.22,6.01,18.61,42.84,228.06,20.18,2524,0.97,Standby,19,NO,56,9,62.94,16.22,22.57,62.39,3684,348,807,5,SEN4039,V1.6.7,0,65.15,28.64477002875045,4.358,37.478,0
RD668445,2024-03-12 20:43:00,MCH766,Conveyor,Warehouse 2,Night,94.2,2.56,25.67,74.1,217.36,13.74,1786,28.3,Running,18,NO,45,18,23.27,25.47,51.35,97.28,3681,344,527,5,SEN6850,V5.6.3,0,77.374,24.240349213656142,4.358,34.594,0
RD509672,2024-02-07 20:11:00,MCH998,Turbine,Unit 2,Morning,77.85,4.27,18.42,48.93,217.54,6.03,1496,21.99,Standby,15,yes,74,17,72.55,27.05,82.03,53.16,8674,249,945,4,SEN1380,V3.0.3,0,76.08599999999998,23.950359705023217,4.358,30.874000000000002,0
RD752696,2024-05-07 12:00:00,MCH252,Pump,Unit 1,Night,96.31,5.97,48.84,86.11,210.46,14.24,1346,0.65,Faulty,15,no,21,9,53.68,44.08,88.97,71.35,8858,426,582,5,SEN2211,V1.9.8,0,88.07000000000001,10.119725786798744,4.358,32.062,1
RD126209,2024-02-05 09:31:00,MCH505,Pump,Warehouse 1,Afternoon,0.0,8.31,0.49,40.66,248.53,9.7,2166,26.47,Idle,18,NO,28,17,53.7,40.66,67.62,81.28,1657,245,900,4,SEN6009,V1.6.5,0,68.91600000000001,39.59890061605247,5.424,22.406,1
RD238603,2024-04-29 10:59:00,MCH748,Motor,Unit 1,Morning,28.16,4.89,8.44,86.05,208.9,25.86,2433,37.81,Maintenance,3,no,53,7,77.09,39.42,25.56,53.33,7235,15,630,0,SEN4059,V5.2.7,0,59.303999999999995,43.06402826025453,5.2,20.372000000000003,0
RD116912,2024-02-01 09:21:00,MCH261,Hydraulic Press,Warehouse 2,Afternoon,92.3,8.92,22.88,87.52,249.62,32.03,1946,39.51,Idle,6,NO,10,2,83.76,29.55,87.84,59.87,1006,186,513,10,SEN9591,V1.7.4,0,58.924,42.68584460919101,6.4719999999999995,19.814,1
RD424599,2024-05-15 13:52:00,MCH598,CNC Machine,Unit 2,Afternoon,46.91,0.0,3.04,82.07,202.22,48.76,2339,27.52,Standby,1,Yes,69,17,91.68,35.55,83.06,98.18,4198,279,214,1,SEN9668,V4.7.0,1,52.736000000000004,41.4819578853265,5.618,16.738000000000003,1
RD189105,2024-02-23 23:22:00,MCH448,Robot,Warehouse 2,Day,56.33,2.14,28.43,35.41,245.32,32.7,1536,36.06,Standby,14,No,32,24,67.38,18.77,47.14,71.71,1643,413,726,6,SEN3636,V2.6.7,1,64.848,27.793263932111344,4.852,12.656,0
RD917226,2024-02-20 06:42:00,MCH173,Generator,Factory 1,Afternoon,56.33,6.88,30.85,54.28,238.55,10.89,2468,37.12,Running,20,Yes,65,9,94.96,35.33,62.76,49.58,2554,33,74,0,SEN9072,V1.2.8,0,64.848,27.793263932111344,4.566,18.728,0
RD306436,2024-05-15 03:36:00,MCH723,Hydraulic Press,Warehouse 2,Afternoon,29.79,3.98,38.09,86.02,225.55,37.53,1927,27.34,Running,17,NO,32,21,42.17,41.3,47.07,82.71,7262,346,786,9,SEN4101,V4.7.2,0,64.848,27.793263932111344,4.3839999999999995,24.658,0
RD379254,2024-03-11 12:35:00,MCH265,CNC Machine,Factory 1,Day,29.79,5.07,42.73,74.31,238.39,13.29,1394,7.61,Running,13,NO,45,18,25.02,40.88,96.96,99.15,9687,133,556,3,SEN8099,V2.6.8,0,64.848,27.793263932111344,3.614,28.628000000000004,0
RD920798,2024-02-04 15:42:00,MCH763,Hydraulic Press,Plant C,Day,88.23,9.29,17.45,42.12,238.67,23.65,1883,10.7,Standby,12,YES,28,18,71.82,33.91,45.2,95.0,4898,411,532,10,SEN3360,V1.7.6,0,64.848,27.793263932111344,5.4719999999999995,31.51,0
RD293129,2024-05-04 01:59:00,MCH494,Motor,Unit 1,Afternoon,97.61,8.95,27.48,72.31,223.06,41.04,1862,30.08,Faulty,5,NO,67,8,45.67,16.24,91.55,91.48,4059,25,851,2,SEN7610,V4.8.8,0,64.848,27.793263932111344,6.8340000000000005,31.320000000000004,0
RD220906,2024-02-16 13:00:00,MCH474,CNC Machine,Unit 3,Night,51.27,4.28,15.63,76.56,234.98,41.8,1735,10.11,Offline,8,YES,89,13,43.03,24.65,30.2,56.88,7525,27,195,9,SEN6257,V3.2.3,0,64.848,27.793263932111344,6.314,28.276,0
RD367643,2024-04-03 19:33:00,MCH726,Motor,Warehouse 1,Day,57.34,1.61,3.49,35.91,210.84,12.33,2301,33.2,Maintenance,4,Yes,48,21,30.79,16.24,76.57,43.45,6007,30,474,7,SEN2349,V4.1.7,0,64.848,27.793263932111344,5.84,21.356,0
RD622993,2024-05-03 00:09:00,MCH841,Motor,Warehouse 1,Day,66.1,1.21,39.5,39.98,248.87,29.31,1830,0.93,Maintenance,9,YES,36,13,90.14,32.98,21.92,99.12,6969,143,581,0,SEN2863,V2.2.4,0,72.10999999999999,19.991767055465637,5.068,20.71,1
RD118796,2024-02-08 00:15:00,MCH912,Turbine,factory 1,Day,97.23,9.73,26.28,60.19,233.6,12.02,2518,6.63,Running,7,no,6,22,40.98,31.3,21.25,52.53,8434,383,897,4,SEN4656,V3.3.6,1,73.91,22.100016968319302,5.156000000000001,22.476000000000003,0
RD514480,2024-03-12 05:12:00,MCH888,Robot,Plant C,Morning,60.75,4.11,34.23,45.91,206.66,48.61,1683,23.74,Standby,13,No,86,14,90.04,20.31,38.4,70.32,2117,490,922,4,SEN5409,V3.6.5,0,66.538,17.981981815139324,4.188000000000001,23.826,0
RD394053,2024-03-28 12:28:00,MCH680,Conveyor,Warehouse 2,Night,74.36,4.3,23.96,38.4,219.52,44.47,2609,39.02,Maintenance,1,No,46,20,94.95,30.66,73.02,69.87,5409,209,786,9,SEN7582,V1.8.8,1,71.15599999999999,15.928346744091213,4.192,25.492,0
RD964316,2024-05-21 02:09:00,MCH966,Generator,Factory 1,Morning,23.44,1.99,2.11,69.43,222.17,19.5,2439,33.66,Maintenance,11,YES,60,13,46.11,26.37,58.05,59.49,5783,463,317,4,SEN2701,V2.3.6,0,64.376,26.790584726728184,4.268,25.216,0
RD857133,2024-03-01 07:48:00,MCH451,Generator,Unit 3,Morning,27.37,5.26,36.68,45.37,202.14,9.44,2620,36.44,Standby,6,No,78,2,30.7,16.07,82.92,78.15,2663,418,385,6,SEN5187,V4.6.2,0,56.629999999999995,31.37439640853672,5.078,24.651999999999997,0
RD153092,11-02-2024 06:22:00,MCH573,Generator,Warehouse 1,Morning,84.85,5.72,3.65,68.06,213.89,10.14,2368,37.51,Idle,4,yes,88,1,53.64,33.16,76.38,48.18,8509,437,938,0,SEN4144,V5.4.7,0,54.153999999999996,27.63497114165314,4.276,20.125999999999998,0
RD112538,2024-03-03 04:32:00,MCH193,Compressor,Unit 1,Morning,75.07,6.8,1.84,78.49,206.97,33.5,1540,35.23,Idle,8,YES,89,3,96.42,15.08,76.38,91.17,3879,257,952,7,SEN3520,V2.4.4,0,57.017999999999994,29.187865115489377,4.814,13.648000000000001,0
RD484663,2024-06-07 02:52:00,MCH413,Conveyor,Unit 1,Night,87.1,3.92,14.78,54.53,227.87,19.63,2092,10.57,Idle,19,YES,81,22,86.61,39.78,21.8,42.68,2940,412,149,9,SEN4884,V5.6.7,0,59.565999999999995,31.541425617749137,4.7379999999999995,11.812000000000001,0
RD885632,2024-06-06 01:20:00,MCH801,Robot,Plant B,Night,22.01,7.63,21.3,49.51,237.51,46.5,2589,22.63,Offline,2,Yes,65,19,49.46,36.9,33.48,95.33,2713,283,788,9,SEN3657,V2.6.4,1,59.279999999999994,31.95466476118943,5.8660000000000005,15.65,0
RD285363,2024-02-22 19:34:00,MCH548,Turbine,Factory 1,Day,78.35,10.0,24.64,39.87,248.32,11.55,1019,18.16,Idle,7,no,8,23,43.24,33.06,52.56,57.17,710,386,989,3,SEN9665,V1.2.9,0,69.476,26.97233360315717,6.814,13.242,1
RD187273,2024-03-12 18:00:00,MCH755,CNC Machine,Plant C,Afternoon,38.65,500.0,12.23,80.97,235.66,16.81,1503,36.22,Faulty,11,yes,8,16,83.09,42.86,55.74,99.57,2088,44,498,6,SEN3915,V3.1.9,0,60.23599999999999,28.271105036768574,105.67,14.958000000000002,1
RD532768,2024-02-08 08:19:00,MCH533,Compressor,Plant C,Morning,31.39,5.24,39.9,47.51,236.5,34.42,2405,25.15,Standby,13,Yes,49,5,78.38,31.17,77.63,89.46,1963,357,27,0,SEN1443,V5.2.3,1,58.29600000000001,32.194814489293165,105.35800000000002,22.57,1
RD841856,2024-05-20 04:58:00,MCH759,Turbine,Plant B,Morning,31.39,1.91,40.84,43.23,247.03,17.19,1707,41.22,Running,10,yes,48,11,37.99,23.41,91.31,65.59,9901,49,370,1,SEN1027,V1.8.8,0,58.29600000000001,32.194814489293165,104.95599999999999,27.782,1
RD862286,2024-04-09 00:01:00,MCH616,Generator,Factory 1,Day,88.09,9.55,30.58,46.4,247.69,49.86,1634,19.86,Faulty,3,No,62,21,83.52,29.88,21.17,82.28,1390,53,861,3,SEN4603,V1.1.8,1,58.29600000000001,32.194814489293165,105.34,29.637999999999998,1
RD315815,2024-05-24 03:20:00,MCH652,Compressor,Warehouse 1,Afternoon,98.21,6.83,-10.0,31.42,242.35,19.91,1496,30.6,Faulty,17,yes,23,14,70.38,16.94,59.33,97.22,953,324,144,3,SEN3057,V1.2.9,0,58.29600000000001,32.194814489293165,104.70599999999999,22.71,1
RD199597,2024-02-13 15:22:00,MCH204,Turbine,Warehouse 1,Afternoon,33.34,1.28,0.54,39.93,244.05,40.45,2928,36.46,Maintenance,16,No,71,6,93.96,19.18,61.36,40.56,8920,85,648,1,SEN9424,V4.5.7,0,58.29600000000001,32.194814489293165,4.962000000000001,21.607999999999997,1
RD535355,2024-05-03 02:55:00,MCH923,Conveyor,Unit 2,Day,40.45,7.26,0.54,66.69,242.46,49.08,1922,5.33,Standby,8,yes,74,10,89.58,27.84,50.12,69.52,8702,30,591,0,SEN5894,V1.1.6,0,58.29600000000001,32.194814489293165,5.366,21.607999999999997,1
RD883989,2024-05-28 08:04:00,MCH138,Motor,Factory 1,Night,38.87,6.84,45.91,75.07,221.36,42.77,2343,6.65,Idle,7,yes,12,5,35.76,36.65,25.09,43.03,3502,126,485,10,SEN8950,V4.4.7,0,59.79200000000001,30.774465389345128,6.352,21.607999999999997,0
RD382572,2024-04-17 13:46:00,MCH977,Conveyor,Unit 3,Morning,46.3,6.84,11.93,85.98,226.99,40.25,2876,37.25,Idle,4,No,66,5,25.87,18.02,25.71,63.61,2593,48,995,10,SEN9370,V1.5.4,0,51.434000000000005,26.553000395435568,5.8100000000000005,21.607999999999997,0
RD779142,2024-02-25 23:39:00,MCH156,Robot,Unit 3,Night,55.93,3.16,44.99,61.06,247.53,19.52,2762,41.82,Faulty,3,No,87,22,41.0,25.07,21.93,43.95,5894,99,332,8,SEN3082,V2.3.5,1,42.978,8.587017526475742,5.076,21.607999999999997,0
